,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Desigualdad_1km,Desigualdad_10km,Diferencia,P1ST,Desigualdad_5km,Desigualdad_15km,Desigualdad_promedio
59,59,59,59,59,59,60,AR: Entre Rios-San Antonio de Padua de la Concordia,-31.397777777777776,-58.0225,-31.397777777777776,-58.0225,148985,152565,9,28,10,0.4002319276332855,0.49883556365966797,,2.8,0.51316154,0.50793856,40.023193359375
60,60,60,60,60,60,61,AR: La Pampa-Santa Rosa,-36.61666666666667,-64.28333333333333,-36.61666666666667,-64.28333333333333,91557,26791,20,41,12,0.445746511220932,0.4594654440879822,,2.8,0.49340665,0.46709716,44.574649810791016
61,61,61,61,61,61,62,AR: Cordoba-Villa Maria -Villa Nueva,-31.40833333333333,-64.18388888888889,-31.40833333333333,-64.18388888888889,107268,30696,16,334,74,0.4391120672225952,0.43495604395866394,,2.6,0.44327667,0.45002365,43.49560546875
62,62,62,62,62,62,63,AR: Entre Rios-Diamante,-32.166666666666664,-60.41666666666666,-32.166666666666664,-60.41666666666666,3504,572,103,6,5,0.5293786525726318,0.49866342544555664,,2.9,0.53543663,0.4124851,41.24850845336914
63,63,63,63,63,63,64,AR: Cordoba-Jesus Maria - Colonia Caroya,-31.65694444444444,-64.43,-31.65694444444444,-64.43,133686,109694,9,63,21,0.4433028995990753,0.4821373522281647,,3.0,0.48270398,0.48392826,44.330291748046875
64,64,64,64,64,64,65,AR: Santa Fe-Funes,-32.91555555555556,-60.80972222222222,-32.91555555555556,-60.80972222222222,104372,60065,11,64,19,0.45103657245635986,0.5510249137878418,,3.0,0.48442686,0.47992685,45.10365676879883
65,65,65,65,65,65,66,AR: Mendoza-San Jose,-32.37083333333334,-68.25583333333333,-32.37083333333334,-68.25583333333333,1147,460,77,1,1,0.3782013952732086,0.3969666659832001,,2.9,0.39865807,0.37133238,37.133235931396484
66,66,66,66,66,66,67,AR: Buenos Aires-25 de Mayo,-35.5,-60.25,-35.5,-60.25,7644,716,23,1,1,0.49728378653526306,0.5074957609176636,,3.3,0.5278648,0.4535931,45.359310150146484
67,67,67,67,67,67,69,AR: Buenos Aires-Mar de Plata-General Pueyrredon,-38.000277777777775,-57.55611111111111,-38.000277777777775,-57.55611111111111,171026,56532,14,56,25,0.42540332674980164,0.48051056265830994,,3.1,0.47020313,0.5030593,42.54033279418945
68,68,68,68,68,68,70,AR: Buenos Aires-Gran La Plata,-34.87777777777778,-58.08361111111111,-34.87777777777778,-58.08361111111111,140955,33770,14,24,5,0.45770546793937683,0.45287856459617615,,3.15,0.47136456,0.45548472,45.28785705566406
